,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
351,2020-08-12T00:00:00.000,Alexandria,10-19,219,5,0
352,2020-08-12T00:00:00.000,Alexandria,20-29,540,11,1
353,2020-08-12T00:00:00.000,Alexandria,30-39,692,34,0
354,2020-08-12T00:00:00.000,Alexandria,40-49,557,45,0
355,2020-08-12T00:00:00.000,Alexandria,50-59,375,55,11
356,2020-08-12T00:00:00.000,Alexandria,60-69,238,56,3
357,2020-08-12T00:00:00.000,Alexandria,70-79,110,42,18
358,2020-08-12T00:00:00.000,Alexandria,80+,101,31,27
359,2020-08-12T00:00:00.000,Alexandria,Missing,11,0,0
360,2020-08-12T00:00:00.000,Alleghany,0-9,30,0,0
361,2020-08-12T00:00:00.000,Alleghany,10-19,121,0,0
362,2020-08-12T00:00:00.000,Alleghany,20-29,172,1,0
363,2020-08-12T00:00:00.000,Alleghany,30-39,135,3,0
364,2020-08-12T00:00:00.000,Alleghany,40-49,135,3,0
365,2020-08-12T00:00:00.000,Alleghany,50-59,144,10,1
366,2020-08-12T00:00:00.000,Alleghany,60-69,94,10,1
367,2020-08-12T00:00:00.000,Alleghany,70-79,90,10,10
368,2020-08-12T00:00:00.000,Alleghany,80+,49,12,6
369,2020-08-12T00:00:00.000,Alleghany,Missing,3,0,0
370,2020-08-12T00:00:00.000,Arlington,0-9,69,2,0
371,2020-08-12T00:00:00.000,Arlington,10-19,158,5,0
372,2020-08-12T00:00:00.000,Arlington,20-29,652,22,0
373,2020-08-12T00:00:00.000,Arlington,30-39,583,43,0
374,2020-08-12T00:00:00.000,Arlington,40-49,505,53,8
375,2020-08-12T00:00:00.000,Arlington,50-59,430,70,6
376,2020-08-12T00:00:00.000,Arlington,60-69,318,83,19
377,2020-08-12T00:00:00.000,Arlington,70-79,184,73,32
378,2020-08-12T00:00:00.000,Arlington,80+,205,85,70
379,2020-08-12T00:00:00.000,Arlington,Missing,14,1,0
380,2020-08-12T00:00:00.000,Central Shenandoah,0-9,85,0,0
381,2020-08-12T00:00:00.000,Central Shenandoah,10-19,168,1,0
382,2020-08-12T00:00:00.000,Central Shenandoah,20-29,562,11,0
383,2020-08-12T00:00:00.000,Central Shenandoah,30-39,418,8,0
384,2020-08-12T00:00:00.000,Central Shenandoah,40-49,457,16,0
385,2020-08-12T00:00:00.000,Central Shenandoah,50-59,469,40,5
386,2020-08-12T00:00:00.000,Central Shenandoah,60-69,339,51,15
387,2020-08-12T00:00:00.000,Central Shenandoah,70-79,179,53,17
388,2020-08-12T00:00:00.000,Central Shenandoah,80+,150,38,22
389,2020-08-12T00:00:00.000,Central Shenandoah,Missing,1,0,0
390,2020-08-12T00:00:00.000,Central Virginia,0-9,41,0,0
391,2020-08-12T00:00:00.000,Central Virginia,10-19,158,2,0
392,2020-08-12T00:00:00.000,Central Virginia,20-29,365,3,0
393,2020-08-12T00:00:00.000,Central Virginia,30-39,212,8,0
394,2020-08-12T00:00:00.000,Central Virginia,40-49,197,3,0
395,2020-08-12T00:00:00.000,Central Virginia,50-59,229,6,4
396,2020-08-12T00:00:00.000,Central Virginia,60-69,152,19,2
397,2020-08-12T00:00:00.000,Central Virginia,70-79,92,14,4
398,2020-08-12T00:00:00.000,Central Virginia,80+,66,10,6
399,2020-08-12T00:00:00.000,Central Virginia,Missing,1,0,0
400,2020-08-12T00:00:00.000,Chesapeake,0-9,94,1,0
401,2020-08-12T00:00:00.000,Chesapeake,10-19,222,2,0
402,2020-08-12T00:00:00.000,Chesapeake,20-29,601,5,0
403,2020-08-12T00:00:00.000,Chesapeake,30-39,573,20,0
404,2020-08-12T00:00:00.000,Chesapeake,40-49,460,33,1
405,2020-08-12T00:00:00.000,Chesapeake,50-59,427,43,1
